key,sku,date,sales,lag_w1_sales,lag_w2_sales,returns,lag_1_returns,mkt_pr,sale_price,lag1_SP,lag_day1,lag_day2,skuid
Coriander_42427,Coriander,2016-02-27,306,538,398,0,20,5,6,6,371,417,69
Coriander_42428,Coriander,2016-02-28,398,428,538,0,0,5,6,6,306,371,69
Coriander_42429,Coriander,2016-02-29,434,500,433,6,0,5,6,6,398,306,69
Coriander_42430,Coriander,2016-03-01,314,405,381,0,6,5,6,6,434,398,69
Coriander_42431,Coriander,2016-03-02,424,446,386,2,0,5,6,6,314,434,69
Coriander_42432,Coriander,2016-03-03,397,417,343,0,2,5,6,6,424,314,69
Coriander_42433,Coriander,2016-03-04,420,371,345,0,0,5,6,6,397,424,69
Coriander_42434,Coriander,2016-03-05,422,306,538,5,0,5,6,6,420,397,69
Coriander_42435,Coriander,2016-03-06,441,398,428,0,5,5,6,6,422,420,69
Coriander_42436,Coriander,2016-03-07,490,434,500,1,0,5,6,6,441,422,69
Coriander_42437,Coriander,2016-03-08,435,314,405,10,1,5,6,6,490,441,69
Coriander_42438,Coriander,2016-03-09,460,424,446,2,10,5,6,6,435,490,69
Coriander_42439,Coriander,2016-03-10,433,397,417,5,2,5,6,6,460,435,69
Coriander_42440,Coriander,2016-03-11,468,420,371,0,5,12,6,6,433,460,69
Coriander_42441,Coriander,2016-03-12,529,422,306,6,0,12,6,6,468,433,69
Coriander_42442,Coriander,2016-03-13,553,441,398,21,6,12,6,6,529,468,69
Coriander_42443,Coriander,2016-03-14,498,490,434,16,21,12,6,6,553,529,69
Coriander_42444,Coriander,2016-03-15,520,435,314,10,16,12,6,6,498,553,69
Coriander_42445,Coriander,2016-03-16,569,460,424,10,10,12,6,6,520,498,69
Coriander_42446,Coriander,2016-03-17,605,433,397,23,10,8,6,6,569,520,69
Coriander_42447,Coriander,2016-03-18,670,468,420,18,23,8,6,6,605,569,69
Coriander_42448,Coriander,2016-03-19,630,529,422,1,18,8,6,6,670,605,69
Coriander_42449,Coriander,2016-03-20,724,553,441,0,1,8,6,6,630,670,69
Coriander_42450,Coriander,2016-03-21,671,498,490,21,0,8,6,6,724,630,69
Coriander_42451,Coriander,2016-03-22,699,520,435,3,21,12,6,6,671,724,69
Coriander_42452,Coriander,2016-03-23,600,569,460,0,3,12,6,6,699,671,69
Coriander_42453,Coriander,2016-03-24,659,605,433,1,0,12,6,6,600,699,69
Coriander_42454,Coriander,2016-03-25,650,670,468,9,1,12,6,6,659,600,69
Coriander_42455,Coriander,2016-03-26,815,630,529,7,9,12,6,6,650,659,69
Coriander_42456,Coriander,2016-03-27,908,724,553,22,7,12,6,6,815,650,69
